province;red;green;blue;x;x
120;0;147;60;Frjosafit;x
121;42;150;188;Gala Forest;x
122;84;153;61;Svidha Point;x
123;126;156;189;Terkum;x
124;168;159;62;Svartrblodhr;x
125;0;162;190;Blodhfell;x
126;42;165;63;Draksfjord;x
127;84;168;191;Vinteerholm;x
128;126;171;64;Sidhastr Van;x
129;168;174;192;Icewind Pass;x
130;0;177;65;Urslo;x
131;42;180;193;Ey Kragmor;x
132;84;183;66;Nazcalla;x
133;126;186;194;Eyland Feiknstafir;x
134;168;189;67;Vollr-Azkhaguul;x
135;0;192;195;Shadowmoor Pass;x
136;42;195;68;Tivar Peak;x
137;84;198;196;Fjall-Azkhaguul;x
138;126;201;69;The Czegniks;x
139;168;204;197;Artuulian Range;x
140;0;207;70;Haussbraut;x
141;42;210;198;Wulfsiege;x
142;84;0;71;Graennae;x
143;126;3;199;Aponnia;x
144;168;6;72;Gotland;x
145;0;9;200;Thorshafn;x
146;42;12;73;Skraevold;x
147;84;15;201;Sturen Ridge;x
148;126;18;74;Galafell;x
149;168;21;202;Zamak Spanyenya;x
150;0;24;75;Bolensk;x
151;42;27;203;Styr's Ridge;x
152;84;30;76;Dhazyn;x
153;126;33;204;Kurson Haugr;x
154;168;36;77;Kaminski;x
155;0;39;205;Zoishenk;x
156;42;42;78;Dzzijk;x
157;84;45;206;Hurajik;x
158;126;48;79;Dzyatlava;x
159;168;51;207;Ostrosk;x
160;0;54;80;Zenilev;x
161;42;57;208;Tobol;x
162;84;60;81;Tolsol;x
163;126;63;209;Goranitch;x
164;168;66;82;Turaw;x
165;0;69;210;Petrikov;x
166;42;72;83;Maja Uvemny;x
167;84;75;211;Crags of Shargun;x
168;126;78;84;Oduin Wood;x
169;168;81;212;Zhedevka;x
170;0;84;85;The Golinyi;x
171;42;87;213;Kacirk;x
172;84;90;86;Fanipalo;x
173;126;93;214;Stolbstyvoisk;x
174;168;96;87;Forest of Borisov;x
175;0;99;215;Erengrad;x
176;42;102;88;Grovod Forest;x
177;84;105;216;Vitzy;x
178;126;108;89;Megion;x
179;168;111;217;Zeya;x
180;0;114;90;Bolgasgrad;x
181;42;117;218;Salair;x
182;84;120;91;Praag;x
183;126;123;219;Volksgrad;x
184;168;126;92;Dukhyls Forest;x
185;0;129;220;Novehozy;x
186;42;132;93;Arzamas;x
187;84;135;221;Izobilny;x
188;126;138;94;Tesov;x
189;168;141;222;Ob;x
190;0;144;95;Staslav;x
191;42;147;223;Taldom;x
192;84;150;96;Vdovya;x
193;126;153;224;Uvetsyn;x
194;168;156;97;Dukhyls Spirits;x
195;0;159;225;Krakjunov;x
196;42;162;98;Koniecpole;x
197;84;165;226;Plowce;x
198;126;168;99;Jydske;x
199;168;171;227;Wizna;x
200;0;174;0;Blotno;x
201;42;177;128;Zabow;x
202;84;180;1;Kislev;x
203;126;183;129;Shirokij Forest;x
204;168;186;2;Ptorsk;x
205;0;189;130;Resvynhaf;x
206;42;192;3;Rakhov;x
207;84;195;131;Kyrnoka;x
208;126;198;4;Vitevo;x
209;168;201;132;Boguchar;x
210;0;204;5;Belev;x
211;42;207;133;Chernigov;x
212;84;210;6;Polotsk;x
213;126;0;134;Pugacheyev;x
214;168;3;7;Kalinora;x
215;0;6;135;Vetluga;x
216;42;9;8;Flainaut;x
217;84;12;136;Brabois;x
218;126;15;9;Almshoven;x
219;168;18;137;Landrel Barrow;x
220;0;21;10;Markenbinnen;x
221;42;24;138;Noordbeemster;x
222;84;27;11;Marienburg;x
223;126;30;139;Klessen;x
224;168;33;12;Fauligmere;x
225;0;36;140;Manaanspoort;x
226;42;39;13;Velsen;x
227;84;42;141;Ankeeven;x
228;126;45;14;Harenskarpel;x
229;168;48;142;Buuren;x
230;0;51;15;Harskamp;x
231;42;54;143;Aarnau;x
232;84;57;16;Schadelbruck;x
233;126;60;144;Schaukel;x
234;168;63;17;Hargendorf;x
235;0;66;145;Gelnhausen;x
236;42;69;18;Manaansufer;x
237;84;72;146;Luftberg;x
238;126;75;19;Kurtwallen;x
239;168;78;147;Salzenmund;x
240;0;81;20;Norden;x
241;42;84;148;Limshof;x
242;84;87;21;Dorfmark;x
243;126;138;49;Salkalten;x
244;168;93;22;Huven;x
245;0;96;150;Friedmark;x
246;42;99;23;Rossin;x
247;84;102;151;Ferlangen;x
248;126;105;24;Roezfels;x
249;168;108;152;Gauschdorf;x
250;0;111;25;Bohsenfels;x
251;42;114;153;Dassel;x
252;84;117;26;Vandengart;x
253;126;120;154;Ristedt;x
254;168;123;27;Wolfenburg;x
255;0;126;155;Brizban;x
256;42;129;28;Nettburg;x
257;84;132;156;Wurzen;x
258;126;135;29;Selonian Hills;x
259;168;138;157;Roterwald;x
260;0;141;30;Spuktichtung;x
261;42;144;158;Finsternchen;x
262;84;147;31;Entsetzlichigelhuegel;x
263;126;150;159;Wouduin;x
264;168;153;32;Pinnesberg;x
265;0;156;160;Winsen;x
266;42;159;33;Isenbuttel;x
267;84;162;161;Seidewald;x
268;126;165;34;Scheinfeld;x
269;168;168;162;Mittelwig;x
270;0;171;35;Carroburg;x
271;42;174;163;Nordlichturm;x
272;84;177;36;Suderende;x
273;126;180;164;Kammendun;x
274;168;183;37;Middenheim;x
275;0;186;165;Malstedt;x
276;42;189;38;Middenstag;x
277;84;192;166;Grimminhagen;x
278;126;195;39;Bad Hohne;x
279;168;198;167;Holtdorf;x
280;0;201;40;Coburg;x
281;42;204;168;Kutenholz;x
282;84;207;41;Krudenwald;x
283;126;210;169;Bergendorf;x
284;168;0;42;Heedenhof;x
285;0;3;170;Kiefer;x
286;42;6;43;Eiskalt;x
287;84;9;171;Ahlenhof;x
288;126;12;44;Igelhuegel;x
289;168;15;172;Ketzin;x
290;0;18;45;Vodf;x
291;42;21;173;Markdorf;x
292;84;24;46;Hergig;x
293;126;27;174;Merxheim;x
294;168;30;47;Schilderheim;x
295;0;33;175;Holthusen;x
296;42;36;48;Boegenhafen;x
297;84;39;176;Osburg;x
298;126;42;49;Furdienst;x
299;43;81;138;Altdorf;x
300;0;48;50;Hagercrybs;x
301;42;51;178;Moerlenfurt;x
302;84;54;51;Reikgard;x
303;126;57;179;Auerswald;x
304;168;60;52;Uebersreik;x
305;0;63;180;Grunburg;x
306;42;66;53;Dunkelburg;x
307;84;69;181;Wittgendorf;x
308;126;72;54;Grissenwald;x
309;168;75;182;Nuln;x
310;0;78;55;Wissenburg;x
311;42;81;183;Durbheim;x
312;84;84;56;Wurmgrube;x
313;126;87;184;Kelgard;x
314;168;90;57;Wusterberg;x
315;0;93;185;Sonnefurt;x
316;42;96;58;Pfeildorf;x
317;84;99;186;Sexau;x
318;126;102;59;Staig;x
319;168;105;187;Pforzen;x
320;0;108;60;Wittenhausen;x
321;42;111;188;Aulen;x
322;84;114;61;Kroppenleben;x
323;126;117;189;Steingart;x
324;146;22;58;Talabheim;x
325;114;10;40;Talagaad;x
326;136;35;64;Volgen;x
327;148;0;43;Farlichberge;x
328;225;18;78;Kemperbad;x
329;193;2;57;Unterbaum;x
330;248;1;73;Toerpin;x
331;180;13;62;Kargberge;x
332;224;61;108;Gostahof;x
333;168;19;62;Krugenheim;x
334;194;12;64;Ossino;x
335;162;4;49;Kuesel;x
336;221;37;90;Ostlichrand;x
337;186;87;115;Bek;x
338;126;162;69;Borkrum;x
339;168;165;197;Menshenfresserhoffen;x
340;0;168;70;Rugenbuttle;x
341;42;171;198;Nattern;x
342;84;174;71;Teichel;x
343;126;177;199;Wurtbad;x
344;168;180;72;Oehling;x
345;0;183;200;Ramsau;x
346;42;186;73;Zaya;x
347;84;189;201;Stirhuegel;x
348;126;192;74;Woerdern;x
349;168;195;202;Leithagberge;x
350;0;198;75;Eicheschatten;x
351;42;201;203;Greenleafs;x
352;84;204;76;Leedleton;x
353;126;207;204;Lengenfeld;x
354;168;210;77;Colmfaehre;x
355;0;0;205;Streissen;x
356;42;3;78;Wuppertal;x
357;84;6;206;Averheim;x
358;126;9;79;Longingbruck;x
359;168;12;207;Sauerapfel;x
360;0;15;80;Hocheleben;x
361;42;18;208;Aver March;x
362;84;21;81;Grenzstadt;x
363;126;24;209;Pfungzig;x
364;168;27;82;Niebelwald;x
365;0;30;210;Bernloch;x
366;42;33;83;Bechafen;x
367;84;36;211;Fortenhaf;x
368;126;39;84;The Veldt;x
369;168;42;212;Rundespitze;x
370;0;45;85;Mordheim;x
371;42;48;213;Carlsbruck;x
372;84;51;86;Kolhov;x
373;126;54;214;Regak;x
374;168;57;87;Nagenhof;x
375;0;60;215;Siegfriedhof;x
376;42;63;88;Koenigstein;x
377;84;66;216;Brachland;x
378;126;69;89;Sternieste;x
379;168;72;217;Vanhaldenhof;x
380;0;75;90;Tempelhof;x
381;42;78;218;Mikaldorf;x
382;84;81;91;Waldenhof;x
383;126;84;219;Sumpfdorf;x
384;168;87;92;Wartenhof;x
385;0;90;220;Nachthafen;x
386;42;93;93;Drakenhof;x
387;84;96;221;Fennonhuegel;x
388;126;99;94;Schramleben;x
389;168;102;222;Sigmaringen;x
390;0;105;95;Aydemir;x
391;42;108;223;Sopot;x
392;84;111;96;Ribaritsa;x
393;126;114;224;Blatnista;x
394;168;117;97;Katunets;x
395;0;120;225;Kathuul;x
396;42;123;98;Poibrene;x
397;84;126;226;Lesichovo;x
398;126;129;99;Jakki;x
399;168;132;227;Nyarammog;x
400;0;135;0;Panitsovo;x
401;42;138;128;Mokrishte;x
402;84;141;1;Dragotintsi;x
403;126;144;129;Chavdar;x
404;168;147;2;Sarog;x
405;0;150;130;Zanbaijin;x
406;42;153;3;Izvor;x
407;84;156;131;Delyan;x
408;126;159;4;Skutare;x
409;168;162;132;Dragoynovo;x
410;0;165;5;Graf;x
411;42;168;133;Arda;x
412;84;171;6;Overjul;x
413;126;174;134;Qernildom;x
414;168;177;7;Hjornsum;x
415;0;180;135;Karak Jarghal;x
416;42;183;8;Unzkulak;x
417;84;186;136;Karak Farjul;x
418;126;189;9;Karak Vlag;x
419;168;192;137;Belyavorota Pass;x
420;0;195;10;Kazad Opulim;x
421;42;198;138;Karak Brianal;x
422;84;201;11;Karak Unlivak;x
423;126;204;139;Karak Eragol;x
424;168;207;12;Silver Pinnacle;x
425;0;210;140;Karak Gorzul;x
426;42;0;13;Plains of Kirulg;x
427;84;3;141;Karak Zan;x
428;126;6;14;Luvuag;x
429;168;9;142;Plains of the Divuildud;x
430;0;12;15;West Rock Mountain;x
431;42;15;143;Seep-Gore;x
432;84;18;16;Ironhide;x
433;42;87;63;Red Eye Mountain;x
434;168;24;17;Mount Karlnir;x
435;0;27;145;Kazad Hurlidan;x
436;42;30;18;Slayer Keep;x
437;84;33;146;Khazid Erakkial;x
438;126;36;19;Karak Angazhar;x
439;168;39;147;Booming Peak;x
440;0;42;20;Black Fire Pass;x
441;42;45;148;Cragmere;x
442;84;48;21;Zhufbar;x
443;126;51;149;Grung Gundrikson;x
444;168;54;22;Kadrin Gorm;x
445;0;57;150;Karak Raziak;x
446;42;60;23;Khazid Irkulaz;x
447;84;63;151;Drakenmoor;x
448;126;66;24;Iron Hills;x
449;168;69;152;Grom Peak;x
450;0;72;25;Mount Gunbad;x
451;42;75;153;Everpeak;x
452;84;78;26;Kazad Urkbavak;x
453;126;81;154;Silver Pass;x
454;168;84;27;Dead Rock Gap;x
455;0;87;155;Mount Silverspear;x
456;42;90;28;Haraz;x
457;84;93;156;Konar;x
458;126;96;29;Lantai;x
459;168;99;157;Dagrolad;x
460;0;102;30;Sovia;x
461;42;105;158;Varag Kadrin;x
462;84;108;31;Thunder Mountain;x
463;126;111;159;Karag Grimstok;x
464;168;114;32;Mount Squighorn;x
465;0;117;160;Black Crag;x
466;42;120;33;Azgul Kadrin;x
467;84;123;161;Azril-Ungol;x
468;126;126;34;Karak Azgal;x
469;168;129;162;Kazad Migdal;x
470;0;132;35;Karak Azul;x
471;42;135;163;Cripple Peak;x
472;84;138;36;Nagash;x
473;126;141;164;Fire Mountain;x
474;168;144;37;Adad-Nirari;x
475;0;147;165;Abraq;x
476;42;150;38;Zanen Ruvalk;x
477;84;153;166;Baartak;x
478;126;156;39;Zharr-Naggrund;x
479;168;159;167;Unzkadrin;x
480;0;162;40;Skreefel;x
481;42;165;168;Gash Kadrak;x
482;84;168;41;Gazan-Garaz;x
483;126;171;169;Ghal;x
484;168;174;42;Gorlgal;x
485;0;177;170;Azgram;x
486;42;180;43;Mizpazan;x
487;84;183;171;Ossarl;x
488;126;186;44;Sklepgor;x
489;168;189;172;Olnzar;x
490;0;192;45;Igragor;x
491;42;195;173;Zagros;x
492;84;198;46;Behiston Wastes;x
493;126;201;174;Barak Zharr;x
494;168;204;47;The Sentinels;x
495;0;207;175;Crookback Mountain;x
496;42;210;48;Morzarn;x
497;84;0;176;Mount Grey Hag;x
498;126;3;49;Pazuzu;x
499;168;6;177;Morogoth;x
500;0;9;50;Sabarta;x
501;42;12;178;Tanahk;x
502;84;15;51;Tharumagi;x
503;126;18;179;Eana;x
504;168;21;52;Vorag;x
505;0;24;180;Teresca;x
506;42;27;53;Sotomarca;x
507;84;30;181;Cabrera;x
508;126;33;54;Sobremarca;x
509;168;36;182;Mendoza;x
510;0;39;55;Alabreda;x
511;42;42;183;Castillar;x
512;84;45;56;Murilla;x
513;126;48;184;Cadenas;x
514;168;51;57;Barataria;x
515;0;54;185;Barboza;x
516;42;57;58;Calis;x
517;84;60;186;Alquezaro;x
518;126;63;59;Bajamar;x
519;168;66;187;Cantabro;x
520;0;69;60;Bilbali;x
521;42;72;188;Varda;x
522;84;75;61;Viacruz;x
523;126;78;189;Sodana;x
524;168;81;62;Nunia;x
525;0;84;190;Baraiz;x
526;126;21;144;Zamalanca;x
527;84;90;191;Azuara;x
528;126;93;64;San Luis;x
529;168;96;192;Trastamara;x
530;0;99;65;Edeta;x
531;42;102;193;Arroca;x
532;84;105;66;Cefira;x
533;126;108;194;Diamenterra;x
534;168;111;67;Aguilar;x
535;0;114;195;Olissipo;x
536;42;117;68;Verin;x
537;84;120;196;Portague;x
538;126;123;69;Jaraiz;x
539;168;126;197;Valdana;x
540;0;129;70;Sandoval;x
541;42;132;198;Miramar;x
542;84;135;71;Finterra;x
543;126;138;199;San Pedro;x
544;168;141;72;Belmoz;x
545;0;144;200;Alboran;x
546;42;147;73;Toletti;x
547;84;150;201;Ubrique;x
548;126;153;74;Urdango;x
549;168;156;202;Torrosa;x
550;0;159;75;Tobiedo;x
551;42;162;203;Malmeria;x
552;84;165;76;Molina;x
553;126;168;204;Magritta;x
554;168;171;77;Garnata;x
555;0;174;205;Javea;x
556;42;177;78;Villana;x
557;84;180;206;Almagora;x
558;126;183;79;Cordobra;x
559;168;186;207;Fierra;x
560;0;189;80;Osborna;x
561;42;192;208;Montacute;x
562;84;195;81;Solsona;x
563;126;198;209;Ebria;x
564;168;201;82;Siernas;x
565;0;204;210;Reas;x
566;42;207;83;Los Merinos;x
567;84;210;211;Montenas;x
568;126;0;84;Pajena;x
569;168;3;212;Las Navas;x
570;0;6;85;Cervantes;x
571;42;9;213;Durango;x
572;84;12;86;Zaraguz;x
573;126;15;214;Gualcazar;x
574;168;18;87;Tobaro;x
575;0;21;215;Liburni;x
576;42;24;88;Illiria;x
577;84;27;216;Delamata;x
578;126;30;89;Aquilas;x
579;168;33;217;Isole Sirene;x
580;0;36;90;Scordisci;x
581;42;39;218;Autaria;x
582;84;42;91;Udolpho;x
583;126;45;219;Ravola;x
584;168;48;92;Miragliano;x
585;0;51;220;Ebino;x
586;42;54;93;Toscania;x
587;84;57;221;Lambruso;x
588;126;60;94;Campogrotta;x
589;168;63;222;Vladeza;x
590;0;66;95;Andone;x
591;42;69;223;Trantio;x
592;84;72;96;Urbimo;x
593;126;75;224;Cenona;x
594;168;78;97;Sadrono;x
595;0;81;225;Trantine Hills;x
596;42;84;98;Catrazza;x
597;84;87;226;Varieno;x
598;126;90;99;Malavigna;x
599;168;93;227;Pavona;x
600;0;96;0;Remas;x
601;42;99;128;Stiani;x
602;84;102;1;Astiano;x
603;126;105;129;Rifraffa;x
604;168;108;2;Olesi;x
605;0;111;130;Spaarta;x
606;42;114;3;Spomanti;x
607;84;117;131;Scozzese;x
608;126;120;4;Lorenzo;x
609;168;123;132;Verezzo;x
610;0;126;5;Portomaggiore;x
611;42;129;133;Raverno;x
612;84;132;6;Volanda;x
613;126;135;134;Cittafinistre;x
614;168;138;7;Luccini;x
615;0;141;135;Pelua;x
616;42;144;8;Spurio;x
617;84;147;136;Organza;x
618;126;150;9;Mintopua;x
619;168;153;137;Aldente;x
620;0;156;10;Capelli;x
621;42;159;138;Sussurrio Wood;x
622;84;162;11;Laserno;x
623;126;165;139;Pavezzano;x
624;168;168;12;Tepanlo;x
625;0;171;140;Luparno;x
626;42;174;13;Sartosa;x
627;84;177;141;Pelremo;x
628;126;180;14;Caprio;x
629;168;183;142;Vercuso;x
630;0;186;15;Kazad Frukund;x
631;42;189;143;Grung Mizpel;x
632;84;192;16;Karak Kaferkammaz;x
633;126;195;144;Karak Ekzfilaz;x
634;168;198;17;Grung Ikree;x
635;0;201;145;Karak Grom;x
636;42;204;18;Karak Sedazund;x
637;84;207;146;Khazid Wyrwarn;x
638;126;210;19;Domatburg;x
639;168;0;147;Zvorak;x
640;0;3;20;Khadiz Urbaz;x
641;42;6;148;Skiros;x
642;84;9;21;Platae;x
643;126;12;149;Pugno;x
644;168;15;22;Khazid Algskarag;x
645;0;18;150;Copper Mountain;x
646;42;21;23;Kazad Elgazund;x
647;84;24;151;Grung Agrilebaz;x
648;126;27;24;Grung Ardzufak;x
649;168;30;152;Khazid Grimaz;x
650;0;33;25;Karak Norn;x
651;42;36;153;Karak Ziflin;x
652;84;39;26;Karak Grentaz;x
653;126;42;154;Horn Hold;x
654;168;45;27;Karak Gantuk;x
655;0;48;155;Monte Castello;x
656;42;51;28;Argalis;x
657;84;54;156;Myrmidens;x
658;126;57;29;Pilos;x
659;168;60;157;Vardanos;x
660;0;63;30;Atreus;x
661;42;66;158;Kasos;x
662;84;69;31;Pelpeonna;x
663;126;72;159;Thessos;x
664;168;75;32;Achaes;x
665;0;78;160;Arnalos;x
666;42;81;33;Alynd;x
667;84;84;161;Heldegrad;x
668;126;87;34;Mortensholm;x
669;168;90;162;Cabanal;x
670;0;93;35;Mognia;x
671;42;96;163;Hinrikness;x
672;84;99;36;Vinsbrugge;x
673;126;102;164;Inkodevna;x
674;168;105;37;Albusdorf;x
675;0;108;165;Vidovdan;x
676;42;111;38;Brasov;x
677;84;114;166;Quaterain;x
678;126;117;39;Matorca;x
679;168;120;167;Spinda;x
680;0;123;40;Moslac;x
681;42;126;168;Somjek;x
682;84;129;41;Mornell;x
683;126;132;169;Galiti;x
684;168;135;42;Dhouda;x
685;0;138;170;Masserschloss;x
686;42;141;43;Barak Varr;x
687;84;144;171;Styratia;x
688;126;147;44;Munzig;x
689;168;150;172;Sturgun;x
690;0;153;45;Akendorf;x
691;42;156;173;Kalk;x
692;84;159;46;Deiter;x
693;126;162;174;Mirke;x
694;168;165;47;Malko;x
695;0;168;175;Geistenmund;x
696;42;171;48;Bythan;x
697;84;174;176;Tanais;x
698;126;177;49;Zenres;x
699;168;180;177;Fatandira;x
700;0;183;50;Aldium;x
701;42;186;178;Lament;x
702;84;189;51;Brovska;x
703;126;192;179;Levrellian;x
704;168;195;52;Varenka;x
705;0;198;180;Turov;x
706;42;201;53;Gulthac;x
707;84;204;181;Haflok;x
708;126;207;54;Clazo;x
709;168;210;182;Knidus;x
710;0;0;55;Blutgar;x
711;42;3;183;Karsack;x
712;84;6;56;Iron Rock;x
713;126;9;184;Matul Remrit;x
714;168;12;57;Cimmeria;x
715;0;15;185;Sakaryia;x
716;42;18;58;Mushki;x
717;84;21;186;Paragorn;x
718;126;24;59;Odris;x
719;168;27;187;Crios;x
720;0;30;60;Nonucci Island;x
721;42;33;188;Raven Barrow;x
722;84;36;61;Mentreda;x
723;126;39;189;Khypris;x
724;168;42;62;Sapphiro;x
725;0;45;190;Ilios;x
726;42;48;63;Langkt-Girt;x
727;84;51;191;Langkhaz;x
728;126;54;64;Karak Nazril;x
729;168;57;192;Karak Yarazril;x
730;0;60;65;Varaz Barak;x
731;42;63;193;Zank Barak;x
732;84;66;66;Gelt;x
733;126;69;194;Khazid Ruvalkbar;x
734;168;72;67;Kazad Dron;x
735;0;75;195;Luwaia;x
736;42;78;68;Adryn;x
737;84;81;196;Delium;x
738;126;84;69;Anaxia;x
739;168;87;197;Afayan;x
740;0;90;70;Koganusan;x
741;42;93;198;Kreutzhofen;x
742;84;96;71;Kybel;x
743;126;99;199;Karamandere;x
744;168;102;72;Panion;x
745;0;105;200;Ahhiya;x
746;42;108;73;Bayat;x
747;84;111;201;Porsuk;x
748;126;114;74;Serkeskal;x
749;168;117;202;Kaskia;x
750;0;120;75;Arz;x
751;42;123;203;Udibgovos;x
752;84;126;76;Eubus;x
753;126;129;204;Zuwadison;x
754;168;132;77;Mykal;x
755;0;135;205;Komar;x
756;42;138;78;Boetus;x
757;84;141;206;Nezull;x
758;126;144;79;Burushur;x
759;168;147;207;Zitharis;x
760;0;150;80;Rhothira;x
761;42;153;208;Ekrund;x
762;84;156;81;Mount Bloodhorn;x
763;126;159;209;Hettasha;x
764;168;162;82;Karzis;x
765;0;165;210;Nerik;x
766;42;168;83;Palak;x
767;84;171;211;Kadesh;x
768;126;174;84;Adygea;x
769;168;177;212;Hattria;x
770;0;180;85;Mourkain;x
771;42;183;213;Gediz;x
772;84;186;86;Akur;x
773;126;189;214;Klatch;x
774;168;192;87;Kiziril;x
775;0;195;215;Irmak;x
776;42;198;88;Gernach;x
777;84;201;216;Khernum;x
778;126;204;89;Indirum;x
779;168;207;217;Blakmar;x
780;0;210;90;Libis;x
781;42;0;218;Misty Mountain;x
782;84;3;91;Charan;x
783;126;6;219;Qarum;x
784;168;9;92;Sedg;x
785;0;12;220;Orgar;x
786;42;15;93;Seltar;x
787;84;18;221;Arzawe;x
789;168;24;222;Ys;x
790;0;27;95;Erguian;x
791;42;30;223;Chagrin;x
792;84;33;96;Rocheil;x
793;126;36;224;Moulinsard;x
794;168;39;97;Lyonesse;x
795;0;42;225;Caon;x
796;42;45;98;Chastillon;x
797;84;48;226;Martonnais;x
798;126;51;99;Senlou;x
799;168;54;227;L'Anguille;x
800;0;57;0;Fregunerre;x
801;42;60;128;Ganet;x
802;84;63;1;Sanz;x
803;126;66;129;Havresse;x
804;168;69;2;Rennais;x
805;0;72;130;Rouard;x
806;42;75;3;Eux;x
807;84;78;131;Dun;x
808;126;81;4;Normagne;x
809;168;84;132;Chantillon;x
810;0;87;5;Couronne;x
811;42;90;133;Tintannil;x
812;84;93;6;Thorn;x
813;126;96;134;Nesleaux;x
814;168;99;7;Langreuil;x
815;0;102;135;Artois;x
816;42;105;8;Larret;x
817;84;108;136;Uexin;x
818;126;111;9;Arden;x
819;168;114;137;Saintilles;x
820;0;117;10;Carmandois;x
821;42;120;138;Chautoise;x
822;84;123;11;Mortagne;x
823;126;126;139;Dras;x
824;168;129;12;Rachard;x
825;0;132;140;Elne;x
826;42;135;13;Mousillon;x
827;84;138;141;Frondee;x
828;126;141;14;Yremois;x
829;168;144;142;Guerac;x
830;0;147;15;Beaussons;x
831;42;150;143;Triers;x
832;84;153;16;Gracay;x
833;126;156;144;Gisoreux;x
834;168;159;17;Tremonge;x
835;0;162;145;Reves;x
836;42;165;18;Feuilly;x
837;84;168;146;Bordeleaux;x
838;126;171;19;Cabernet;x
839;168;174;147;Laors;x
840;0;177;20;Yquem;x
841;42;180;148;Soudarre;x
