Comment;Province ID;Red;Green;Blue;Province Name;Empire;Kingdom;Duchy;Culture;Religion;Terrain;Climate;Holdings;Capital;Holding 2;Holding 3;Holding 4;Holding 5;Holding 6;Holding 7;;;;
;660;0;63;30;Atreus;;Aegos;Kampos;myken;myrmidian;;;5;Atreus (B);Panticapaeum (C);Pitros (T);Lycion;Bionicas;;;;;;
;656;42;51;28;Argalis;;Aegos;Kampos;myken;myrmidian;;;4;Argalis (B);Amikus (B);Plisthene;Oetapolis;;;;;;;
;725;0;45;190;Ilios;;Aegos;Kampos;myken;myrmidian;;;4;Ilios (B);Adamas (C);Trapeza (T);Elleipsis;;;;;;;
;642;84;9;21;Platae;;Aegos;Kampos;myken;myrmidian;;;3;Phaisos (B);Malopo (C);Azaria;;;;;;;;
;659;168;60;157;Vardanos;;Aegos;Kampos;myken;myrmidian;;;3;Vardanos (B);Orchomenaia;Philidolphus;;;;;;;;
;1252;1;114;150;Targhizizi;;Ashenfels;Zharrud;goblin_main;greenskin_gods;;;5;Targhizizi (U);Eriduun;Nazgarl;Qindiker;Duranki;Isin;;;;;
;1299;169;63;177;Darkhold;;Ashenfels;Zharrud;goblin_main;greenskin_gods;;;4;Darkhold (U);Dooma;Darium;Arrechi;Abylo;Mare;;;;;
;502;84;15;51;Tharumagi;;Ashenfels;Zharrud;goblin_main;greenskin_gods;;;4;Thaumagar (U);Ashenvold;Norgen;Nuskuru;Shari;Ereh;;;;;
;1259;169;156;157;Carchemish;;Ashenfels;Karish;goblin_main;greenskin_gods;;;3;Carchemish (U);Vrilig;Rhund;Athon;Caleuc;Share;;;;;
;474;168;144;37;Adad-Nirari;;Ashenfels;Karish;goblin_main;greenskin_gods;;;2;Nirari (U);Underholm;Sibab;Nare;Kadu;Alan;;;;;
;1313;127;105;184;Arum;;Ashenfels;Karish;orc_main;greenskin_gods;;;1;Arum (U);Akkan;Shina;Nisa;Ashuruum;Sina;;;;;
;1258;127;153;29;Chalde;;Ashenfels;Karish;goblin_main;greenskin_gods;;;2;Chalde (U);Sipraa;Isit;Arit;Mashka;Imrur;;;;;
;503;126;18;179;Eana;;Ashenfels;Karish;goblin_main;greenskin_gods;;;2;Eana (U);Ashen Crag;Nippo;Kemish;Ashkad;Akkarish;;;;;
;714;168;12;57;Cimmeria;;Badlands;Bebrikia;orc_main;greenskin_gods;;;4;Cherson (U);Kendill Motte;Castelbel;Greshan;Agan;;;;;;
;716;42;18;58;Mushki;;Badlands;Bebrikia;orc_main;greenskin_gods;;;3;Honour (U);Mushkh;Szapravony;Evech;Kina;;;;;;
;715;0;15;185;Sakaryia;;Badlands;Bebrikia;orc_main;greenskin_gods;;;4;Dvokar (U);Istváan;Janos Pride;Ember;Cutho;;;;;;
;708;126;207;54;Clazo;;Badlands;Clazomene;orc_main;greenskin_gods;;;3;Clazo (U);Dardano;Mileta;Azar;Side;;;;;;
;709;168;210;182;Knidus;;Badlands;Clazomene;orc_main;greenskin_gods;;;3;Knidus (U);Thorax;Narete;Susa;Ashkar;;;;;;
;735;0;75;195;Luwaia;;Badlands;Clazomene;orc_main;greenskin_gods;;;3;Luwaia (U);Tauricas;Sandwash;Sidu;Arkech;;;;;;
;717;84;21;186;Paragorn;;Badlands;Clazomene;orc_main;greenskin_gods;;;2;Paragorn (U);Elea;Sibyl;Iduk;Nunna;;;;;;
;736;42;78;68;Adryn;;Badlands;Gyrn;orc_main;greenskin_gods;;;4;Adryn (U);Karon;Bassit;Asteron;Huri;;;;;;
;739;168;87;197;Afayan;;Badlands;Gyrn;orc_main;greenskin_gods;;;3;Afayan (U);Samanda;Teion;Nimre;Marqash;;;;;;
;738;126;84;69;Anaxia;;Badlands;Gyrn;orc_main;greenskin_gods;;;2;Anaxia (U);Trebizo;Kisho;Tyre;Gade;;;;;;
;707;84;204;181;Haflok;;Badlands;Haflok;orc_main;greenskin_gods;;;4;Mirstadt (U);Pinossa;Gundoakos;Bannestag;Neveh;;;;;;
;706;42;201;53;Gulthac;;Badlands;Haflok;orc_main;greenskin_gods;;;3;Salzac (U);Payens;Volpissa;Lagash;Erish;;;;;;
;712;84;6;56;Iron Rock;;Badlands;Haflok;orc_main;greenskin_gods;;;5;Iron Rock Citadel (U) { holy_site = greenskin_gods };Bitter Dyke;Rivenrock;Gorbin;Green Glen;;;;;;
;746;42;108;73;Bayat;;Badlands;Kolluk;orc_main;greenskin_gods;;;4;Bayat (U);Balatir;Matyas' Fold;Galdutako Herri;Carcho;;;;;;
;742;84;96;71;Kybel;;Badlands;Kolluk;orc_main;greenskin_gods;;;3;Kybel (U);Dhorrensburg;Lambrács;Mari;Nari;;;;;;
;747;84;111;201;Porsuk;;Badlands;Kolluk;orc_main;greenskin_gods;;;3;Porsuk (U);Bicharnos;Sarabosna;Alah;Usan;;;;;;
;718;126;24;59;Odris;;Badlands;Odris;orc_main;greenskin_gods;;;3;Odris (U);Parysat;Greendel;Gaza;Calah;;;;;;
;719;168;27;187;Crios;;Badlands;Odris;orc_main;greenskin_gods;;;3;Crios (U);Phrasia;Lostsvenild;Karka;Gadu;;;;;;
;711;42;3;183;Karsack;;Badlands;Ophira;orc_main;greenskin_gods;;;4;Karsack (U);Diepenwald;Doosten;Wichtbog;Kemarq;;;;;;
;710;0;0;55;Blutgar;;Badlands;Ophira;orc_main;greenskin_gods;;;3;Blutgar (U);Blacktor;Graystak;Emin;Sharri;;;;;;
;777;84;201;216;Khernum;;Khernarch;Greater Khernarch;orc_main;greenskin_gods;;;4;Kherna (U);Totyom (T);Saprovista;Nekbrake;Tjenfuru;Yaban;Ozbey;;;;
;782;84;3;91;Charan;;Khernarch;Greater Khernarch;orc_main;greenskin_gods;;;3;Charan (U);Direcaster;Varlav;Kirifu;Tarte;Odabasi;Tozun;;;;
;776;42;198;88;Gernach;;Khernarch;Greater Khernarch;orc_main;greenskin_gods;;;3;Gernach (U);Milfords Mendicance;Pendrove;Qispisy;Dessokha;Can;Dal;;;;
;778;126;204;89;Indirum;;Khernarch;Greater Khernarch;orc_main;greenskin_gods;;;3;Indira (U);Varnics;Dorost;Dehresy;Avkhadju;Kurtoglu;Tugay;;;;
;780;0;210;90;Libis;;Khernarch;Greater Khernarch;goblin_main;greenskin_gods;;;3;Samarkhara (U);Libisoara;Sastromatan;Behddjusma ;Ackhenein;Devrim;Balbay;;;;
;785;0;12;220;Orgar;;Khernarch;Hadastim;orc_main;greenskin_gods;;;4;Orgar (U);Ragrovnik;Thurmark;Murk;Sesola;Kekilli;Araci;;;;
;787;84;18;221;Arzawe;;Khernarch;Hadastim;orc_main;greenskin_gods;;;3;Arzawe (U);Artis Watch;The Oar;Dedjemu;Zatu;Boran;Kilic;;;;
;779;168;207;217;Blakmar;;Khernarch;Hadastim;goblin_main;greenskin_gods;;;3;Blakmar (U);Marnovo;Bihan;Beneiset;Khasbyrmeru;Koca;Toros;;;;
;783;126;6;219;Qarum;;Khernarch;Qarum;orc_main;greenskin_gods;;;3;Qarumbog (U);Sentinel;Thronelond;Akhnousheh;Napkhe;Ant;Konca;;;;
;784;168;9;92;Sedg;;Khernarch;Qarum;orc_main;greenskin_gods;;;3;Sedg (U);Geworth;Widow's Foot;Djedkhenein;Nemsu ;Mustafa;Kilika;;;;
;786;42;15;93;Seltar;;Khernarch;Qarum;orc_main;greenskin_gods;;;3;Seltar (U);Dubrus;Lone Tower;Khecakha;Ekca;Huseyin;Aztbat;;;;
;495;0;207;175;Crookback Mountain;;Kurnugi;Baartak;goblin_main;greenskin_gods;;;5;Crookback Spire (U);Crookback Deep (T) { holy_site = greenskin_gods };Skreetlezorn;Rottanbak;Feltoo;Iku;;;;;
;477;84;153;166;Baartak;;Kurnugi;Baartak;orc_main;greenskin_gods;;;2;Baartak (U);Marrhaz;Uciash;Arkeh;Thumina;Thag;;;;;
;1308;127;90;54;Chandak;;Kurnugi;Baartak;goblin_main;greenskin_gods;;;1;Chandak (U);Uthan;Calars;Urur;Zadrian;Azel;;;;;
;459;168;99;157;Dagrolad;;Kurnugi;Baartak;orc_main;greenskin_gods;;;3;Anzar'angol (U);Urkrandorf;Mausolo;Idon;Ninsuun;Belessunu;;;;;
;1263;127;168;159;Isin;;Kurnugi;Baartak;orc_main;greenskin_gods;;;3;Bidar (U);Crobak;Irisian;Emit;Vlag;Jezreel;;;;;
;499;168;6;177;Morogoth;;Kurnugi;Baartak;goblin_main;greenskin_gods;;;2;Morogoroba-Azakimolgar-A'agabal (U);Ifirike;Gare;Selars;Barka;Ninshbar;;;;;
;492;84;198;46;Behiston Wastes;;Kurnugi;Gazan;orc_main;greenskin_gods;;;2;Akkar (U);Bahran;Eshnuk;Arah;Mordian;Irra;;;;;
;1250;127;108;149;Hattran;;Kurnugi;Gazan;orc_main;greenskin_gods;;;2;Hattran (U);Mitzu;Misho;Ugah;Myrlla;Nusku;;;;;
;491;42;195;173;Zagros;;Kurnugi;Gazan;orc_main;greenskin_gods;;;3;Zagros (U);Urdishan;Labbagor;Agash;Zygrad;Shala;;;;;
;457;84;93;156;Konar;;Kurnugi;Talbar;orc_main;greenskin_gods;;;2;Konar (U);Riken;Eleur;Bisa;Namtir;Sobis;;;;;
;1251;169;111;22;Baalbek;;Kurnugi;Talbar;orc_main;greenskin_gods;;;2;Baalbek (U);Andriks;Eppon;Selah;Ergal;Thurtai;;;;;
;428;126;6;14;Luvuag;;Kurnugi;Talbar;orc_main;greenskin_gods;;;2;Luvuag (U);Dozzan;Leppo;Natho;Urk;Oloja;;;;;
;497;84;0;176;Mount Grey Hag;;Kurnugi;Ugra;goblin_main;greenskin_gods;;;4;Greyspire (U);Prukold (T);Garukold;Qarbold;Bartan;Naurthang;;;;;
;1312;85;102;56;Ilkatuktak;;Kurnugi;Ugra;goblin_main;greenskin_gods;;;2;Aaargh (U);Anthrax;Urud;Charza;Marduk;Mhornar;;;;;
;496;42;210;48;Morzarn;;Kurnugi;Ugra;orc_main;greenskin_gods;;;2;Morzarn (U);Zulrat;Goza;Arguul;Thuvtok;Upell;;;;;
;1255;1;144;155;Murlech;;Kurnugi;Ugra;orc_main;greenskin_gods;;;3;Murlech (U);Rovanon;Atrahasis;Karamat;Vangor;Ninli;;;;;
;760;0;150;80;Rhothira;;Magnata;Rhothira;myken;myrmidian;;;4;Rhothira (B);Soli (C);Xerenos (T);Asine;;;;;;;
;758;126;144;79;Burushur;;Magnata;Rhothira;myken;myrmidian;;;3;Burushur (B);Ambrak;Medea;;;;;;;;
;763;126;159;209;Hettasha;;Magnata;Rhothira;myken;myrmidian;;;3;Hettasha (B);Telebor;Thyn;;;;;;;;
;754;168;132;77;Mykal;;Magnata;Capra;myken;myrmidian;;;4;Mykal (B);Grosus (C);Megaport;Altaeia;;;;;;;
;756;42;138;78;Boetus;;Magnata;Capra;myken;myrmidian;;;3;Boetus (B);Sittace (C);Tranapase;;;;;;;;
;737;84;81;196;Delium;;Magnata;Capra;myken;myrmidian;;;3;Delium (B);Agoras (C);Dexipo;;;;;;;;
;752;84;126;76;Eubus;;Magnata;Capra;myken;myrmidian;;;2;Eubus (B);Port Colosso;;;;;;;;;
;1043;127;75;29;Chayük;;Magnata;Marash;sartosan_tilean;stromfels;;;3;Chayük (B) { holy_site = stromfels };Mamur (C);Maraq;;;;;;;;
;1042;85;72;156;Tirzor;;Magnata;Marash;sartosan_tilean;stromfels;;;4;Tirzor (B);Anazaba (C);Qasbah Lasyak (T);Basyaf;;;;;;;
;471;42;135;163;Cripple Peak;;Nagashizzar;Nagash;strigany;vampiric;;;4_6;Nagashizzar (B) { holy_site = vampiric };Vernum (C);Kerak (T);Underspire (B);Narvin;Nagasharak;Tioran;;;;
;1257;85;150;156;Larza;;Nagashizzar;Nagash;strigany;vampiric;;;2;Larza (B);Gazur;Florbis;Khozh;Kanlu;;;;;;
;472;84;138;36;Nagash;;Nagashizzar;Nagash;strigany;vampiric;;;3;Dominark (B);Dagan (C);Lunra;Vorkhul;Hakka;;;;;;
;448;126;66;24;Iron Hills;;Urkar;Drakenmoor;orc_main;greenskin_gods;;;3;Iron Pike (U);Ribwich;Hamad;Penu;Aruvag;Slodagh;Dugud;;;;
;447;84;63;151;Drakenmoor;;Urkar;Drakenmoor;orc_main;greenskin_gods;;;2;Drakehold (U);Drakenberg;Dunnusaidu;Dukos;Seshi;Nuszar;Zakk;;;;
;456;42;90;28;Haraz;;Urkar;Harazi;orc_main;greenskin_gods;;;2;Haraz (U);Ubaidr;Ardiea;Raca;Ulag;Sligo;Dardhak;;;;
;1261;43;162;158;Anu;;Urkar;Harazi;orc_main;greenskin_gods;;;4;Anu (U);Kishra;Stone Claw;Komorit;Xurukk;Brat;Mameth;;;;
;1249;85;105;21;Ugar;;Urkar;Harazi;orc_main;greenskin_gods;;;3;Kulaba (U);Turaza;Hansa;Shaktilar;Shazgob;Tenar;Varr;;;;
;426;42;0;13;Plains of Kirulg;;Urkar;Kirulg;orc_main;greenskin_gods;;;2;Uraturu (U);Gnashar;Gamri;Yadidatum;Egvith;Junbos;Pimoja;;;;
;475;0;147;165;Abraq;;Urkar;Kirulg;orc_main;greenskin_gods;;;2;Abraqol (U);Mesharr;Kingu;Kavamahl;Bronvag;Damrina;Lanth;;;;
;1305;1;81;180;Cabal;;Urkar;Kirulg;orc_main;greenskin_gods;;;2;Cabal (U);Eriksveld;Sibri;Ubrog;Hebarg;Shadbak;Nutesh;;;;
;1307;85;87;181;Gherra;;Urkar;Kirulg;orc_main;greenskin_gods;;;2;Gherra (U);Zeni;Vegatham;Gufgant;Kloom;Zyra;Antor;;;;
;1262;85;165;31;Inanna;;Urkar;Kirulg;orc_main;greenskin_gods;;;3;Inanna (U);Virmir;Rappar;Nahrina;Meagak;Silikmuludug;Grint;;;;
;429;168;9;142;Plains of the Divuildud;;Urkar;Kirulg;orc_main;greenskin_gods;;;2;Kroggoth (U);Frakinstad;Nanea;Seji;Ziataja;Shufharz;Tavja;;;;
;1077;85;36;166;Chade;;Urkar;Zutvonal;goblin_main;greenskin_gods;;;3;Chade (U);Hamu Hulladék;Vladistbek;Renas;Balogog;Digmohr;Dum;;;;
;432;84;18;16;Ironhide;;Urkar;Zutvonal;orc_main;greenskin_gods;;;3;Enragg (U);Kriken;Noveria;Adrahasis;Xiztheus;Aralu;Surgul;;;;
;504;168;21;52;Vorag;;Vorag;Vorag;strigany;vampiric;;;5;Vorag (B) { holy_site = vampiric };Taldalom (C);Ekrazer (T);Drimgol-Bargor;Yanimar;Arukdor;Thaggoraki;;;;
;1256;43;147;28;Anat;;Vorag;Vorag;orc_main;greenskin_gods;;;2;Anat (U);Ummar;Tutvar;Fokos;Murbag;Srarym;Lardar;;;;
;1297;85;57;176;Ankarath;;Vorag;Vorag;goblin_main;greenskin_gods;;;3;Ankarath (U);Broken Spine;Gnobhill;Tassigurubar;Ellatgula;Vithok;Bazherak;;;;
;1298;127;60;49;Ghulakth;;Vorag;Vorag;goblin_main;greenskin_gods;;;2;Ghulakh (U);Charrin;Orinu;Auvag;Kullaa;Dexkos;Norn;;;;
;1260;1;159;30;Tibiria;;Vorag;Vorag;strigany;vampiric;;;3;Tibiria (B);Harrah (C);Esgalia;Kithu;Shamiram;Tiamat;Vathor;;;;
;458;126;96;29;Lantai;;Vorag;Blackwater;strigany;vampiric;;;3;Lantai (B);Mezdaport (C);Acrebad;Maron;Manuiqapu;Anasinemid;Virkova;;;;
;460;0;102;30;Sovia;;Vorag;Blackwater;strigany;vampiric;;;3;Sovia (B);Persis (C);Bhataport;Adadaplaiddina;Zengu;Zalmea;Tammaz;;;;
;1274;169;201;37;Pigbarter;;Vorag;Skald;goblin_main;greenskin_gods;;;5;Pigbarter (U);Runtspike;Ogrik;Harad;Eksfoldom;Asius;Pimus;;;;
;1282;85;12;41;Ashenmount;;Vorag;Skald;goblin_main;greenskin_gods;;;2;Ashenmount (U);Glimmer Rift;Ghamorz;Yukgnath;Garakh;Thula;Morkan;;;;
;1280;1;6;40;Kurshu;;Vorag;Skald;goblin_main;greenskin_gods;;;3;Kurshu (U);Skullport;Rosszutvonal;Pagal;Jinjin;Ligish;Balenam;;;;
;723;126;39;189;Khypris;;Paraskiros;Khypria;fjarmann;norscan_gods;;;4_6;Khypris (U);Maltane;Valendra;Philany;Keltut;Strigoviste;;;;;
;676;42;111;38;Brasov;;Paraskiros;Khypria;neueslander;ulrican;;;4;Brasov (B);Eszterházy (T);Matyádi;Rakosvár;;;;;;;
;669;168;90;162;Cabanal;;Paraskiros;Khypria;oltremari;myrmidian;;;4;Cabanal (B);Velliko (B);Tyrnostár (C);Crane's Fist;;;;;;;
;722;84;36;61;Mentreda;;Paraskiros;Khypria;neueslander;sigmarite;;;5;Mentreda (B);Mithiris (C);Aexinos;Euxin;Kargheim;;;;;;
;678;126;117;39;Matorca;;Paraskiros;Drakon Coast;neueslander;sigmarite;;;3;Matorca (B);Amisus (C);Seuth;;;;;;;;
;701;42;186;178;Lament;;Paraskiros;Drakon Coast;fjarmann;norscan_gods;;;5;Lament (B);Orontonas (T);Quarteras (C);Urkenberg;Sineward;;;;;;
;679;168;120;167;Spinda;;Paraskiros;Drakon Coast;neueslander;ulrican;;;3;Spinda (B);Burcanda (C);Chersotár;;;;;;;;
;668;126;87;34;Mortensholm;;Paraskiros;Kharnos;fjarmann;norscan_gods;;;5;Mortensholm (B);Syldavia (C);Borduritsa (T);Dacs (B);Gram;;;;;;
;700;0;183;50;Aldium;;Paraskiros;Kharnos;neueslander;sigmarite;;;3;Aldium (B);The Claws (C);Red Sentry;;;;;;;;
;667;84;84;161;Heldegrad;;Paraskiros;Kharnos;fjarmann;norscan_gods;;;4;Heldegrad (B);Drona (T);Neryaslavl;Chernimets;;;;;;;
;672;84;99;36;Vinsbrugge;;Paraskiros;Kharnos;fjarmann;norscan_gods;;;4;Burkesburg (B);Albane (C);Tuscarno (B);Serene Grove;;;;;;;
;663;126;72;159;Thessos;;Paraskiros;Mirasino;oltremari;myrmidian;;;5;Thessos (B);Olvia (C);Gla (T);Rhodesia;Eretra;;;;;;
;671;42;96;163;Hinrikness;;Paraskiros;Mirasino;orc_main;greenskin_gods;;;4;Hinrikness (U);Ulricstad (T);Golyat;Tyavit;;;;;;;
;670;0;93;35;Mognia;;Paraskiros;Mirasino;neueslander;sigmarite;;;3;Mognia (B);Herac;Beles;;;;;;;;
;666;42;81;33;Alynd;;Paraskiros;Scarosio;oltremari;myrmidian;;;4;Alynd (B);Basica (C);Mackay;Graser's Flick;;;;;;;
;665;0;78;160;Arnalos;;Paraskiros;Scarosio;oltremari;myrmidian;;;3;Arnalos (B);Proxema (T);Calpe;;;;;;;;
;662;84;69;31;Pelpeonna;;Paraskiros;Scarosio;marcheur;grail;;;4;Pelepos (B);Tanasia (B);Polypolis;Mysos;;;;;;;
;641;42;6;148;Skiros;;Paraskiros;Skiros;marcheur;grail;;;4;Mallia (C);Karpathos (B);Ctesia;Hoplitum;;;;;;;
;638;126;210;19;Domatburg;;Paraskiros;Skiros;neueslander;sigmarite;;;3;Domatburg (B);Alemento;Fidalguía;;;;;;;;
;639;168;0;147;Zvorak;;Paraskiros;Skiros;marcheur;grail;;;3;Zvorak (B);Myrmenatus;Arcadia;;;;;;;;
;770;0;180;85;Mourkain;;Strygos;Mourkain;orc_main;greenskin_gods;;;5;Mourkain Citadel (U);Mourkain (T) { holy_site = vampiric | holy_site = greenskin_gods };Antak;Presidia;Trogus;;;;;;
;771;42;183;213;Gediz;;Strygos;Mourkain;orc_main;greenskin_gods;;;2;Gediz (U);Diavarder;Ankarosoth;;;;;;;;
;769;168;177;212;Hattria;;Strygos;Mourkain;orc_main;greenskin_gods;;;3;Hattria (U);White Cliff;Agat;;;;;;;;
;749;168;117;202;Kaskia;;Strygos;Mourkain;orc_main;greenskin_gods;;;3;Kaskia (U);Marmor;Sosistra;;;;;;;;
;774;168;192;87;Kiziril;;Strygos;Mourkain;orc_main;greenskin_gods;;;3;Kiziril (U);Angra;Cygnia;;;;;;;;
;750;0;120;75;Arz;;Strygos;Anksary;orc_main;greenskin_gods;;;4;Arz (U);Aumur;Sankaor;Indelwor;;;;;;;
;772;84;186;86;Akur;;Strygos;Anksary;orc_main;greenskin_gods;;;3;Akur (U);Kutara;Sinipa;;;;;;;;
;775;0;195;215;Irmak;;Strygos;Anksary;goblin_main;greenskin_gods;;;4;Irmak (U);Karamissar;Eiries;Samsun;;;;;;;
;768;126;174;84;Adygea;;Strygos;Lodring;orc_main;greenskin_gods;;;4;Adygea (U);Byrandei;Sorus;Idel;;;;;;;
;767;84;171;211;Kadesh;;Strygos;Lodring;orc_main;greenskin_gods;;;4;Kadesh (U);Ivory Wall;Galymbria;Greenwell;;;;;;;
;773;126;189;214;Klatch;;Strygos;Lodring;orc_main;greenskin_gods;;;3;Klatch (U);Vani;Granite Hill;;;;;;;;
;765;0;165;210;Nerik;;Strygos;Lodring;orc_main;greenskin_gods;;;3;Nerik (U);Sakank;Agmoi;;;;;;;;
;766;42;168;83;Palak;;Strygos;Lodring;orc_main;greenskin_gods;;;3;Palak (U);Chaduri;Pakastin;;;;;;;;
;744;168;102;72;Panion;;Strygos;Troas;orc_main;greenskin_gods;;;4;Panion (U);Malaidos;Techornos;Eshera;;;;;;;
;745;0;105;200;Ahhiya;;Strygos;Troas;orc_main;greenskin_gods;;;2;Ahhiya (U);Tronas;Delzinestar;;;;;;;;
;743;126;99;199;Karamandere;;Strygos;Troas;orc_main;greenskin_gods;;;3;Karamandere (U);Bukharin;Lenstalin;;;;;;;;
;698;126;177;49;Zenres;;Stygia;Starnek;tierrasman;myrmidian;;;3;Zenres (B);Castelvin (B);Drach;;;;;;;;
;696;42;171;48;Bythan;;Stygia;Starnek;marcheur;grail;;;3;Bythan (B);Plathaphyne (C);Thorsivár;;;;;;;;
;684;168;135;42;Dhouda;;Stygia;Starnek;tierrasman;myrmidian;;;4;Dhouda (U);Claramunda;Hermessin;Constancz;;;;;;;
;699;168;180;177;Fatandira;;Stygia;Fatandira;marcheur;grail;;;4;Fatandira (B);Fatanbad (C);Jabroni;Vitrolle;;;;;;;
;703;126;192;179;Levrellian;;Stygia;Fatandira;marcheur;grail;;;4;Levrellian (U);Charamis (T);Dartagne;Gesunkenklinge;;;;;;;
;675;0;108;165;Vidovdan;;Stygia;Hvagir;neueslander;sigmarite;;;5;Vidovdan (B);Hvagirdorf (B);Crotea (C);Sirbea;Érdelea;;;;;;
;674;168;105;37;Albusdorf;;Stygia;Hvagir;neueslander;sigmarite;;;4;Albusdorf (B);Vinzeford (C);Brancamal;Gresse;;;;;;;
;682;84;129;41;Mornell;;Stygia;Hvagir;marcheur;grail;;;3;Mornellia (B);Donnigan Moat (C);Swyne Point;;;;;;;;
;685;0;138;170;Masserschloss;;Stygia;Masse;fjarmann;norscan_gods;;;4;Masserschloss (B);Gongilo (C);Medok;Timohir (B);;;;;;;
;680;0;123;40;Moslac;;Stygia;Masse;oltremari;myrmidian;;;4;Moslac (B);Pestesvár (T);Temergom (T);Feheriszod;;;;;;;
;721;42;33;188;Raven Barrow;;Stygia;Masse;oltremari;myrmidian;;;4;Thale (B);Raven Barrow (T);Machus;Minark;;;;;;;
;681;42;126;168;Somjek;;Stygia;Masse;fjarmann;norscan_gods;;;4;Somjek (B);Mykadon (C);Stallis;Szomol;;;;;;;
